,tweets
0,"@amazonIN 1 chat, 5 calls and 32 days. How many more calls and how many more days do I have to wait for my refund? Or should I go to govt agencies for help?"
1,"@AmazonHelp Hi Today is 26th Nov 2020 and still same response from your support team (even being a prime user :( ), I ordered this product on:-  Ordered on 17 October 2020  Order# 408-3078576-1730726 and still no clue so far what’s going on.  @amazonIN"
2,"@amazonIN A lovely story and a must-read book.
#levelingupbook #levelingupduringapandemic #dijishujahi
https://t.co/U5DVafU1fs https://t.co/8rOcJpmFGG"
3,Amazing way to pack a kg of flour in such a huge box!!! @amazonIN https://t.co/cFLxW2O1Ho
4,"@amazonIN @IndianOilcl This is the reality of this site,it is running a big scam which will soon be exposed in front of public nd till that time we have been lost a huge amount of money so before it's too late boycott this site as soon as possible"
5,"@amazonIN @IndianOilcl This is one of the corrupted nd fake platform which grab its customer's money in the name of fake offers ,one of its employee ask me to do the transaction of 500rs nd u will get 100rs cash back ,bt even after waiting for 1 month these liars hd nt credited anything"
6,"Twice in a row, I received chinese fake airpod copy while the advertised product was wireless case for apple airpods which is a case!!! Beware Amazon’s feedback policy doesn’t allow to publish such reviews... @AmazonHelp @amazonIN @amazon"
7,"@amazon @AmazonHelp @amazonIN 

Why am I not recieving cashbacks when I apply coupons? And why's your customer care executives have no answers?"
8,"@amazonIN 
#AmazonQuiz 
I played this interesting Quiz on Amazon FunZone with 
@santoshkadam21 
@SAMEERK30470253 
@Raj_05MH 
@GreatPunekar https://t.co/wAw4aO7sf8"
9,"@amazonIN These looters r nt tolerated anymore ,let the ppl know it's shamelessness nd corrupted nature ,we hd lost a huge amount of money by trusting these looters nw it needs to be exposed"
10,"@amazonIN, @BlueDart_  Thanks for taking care of my package that even taking it for morning walk 😂🙏 https://t.co/3N1SwW4DDd"
11,Thanks for this quiz @amazonIN @amazon #Azhruddin #AmazonQuiz https://t.co/A9SOkmp49p
12,"@amazonIN More &amp; more products are becoming non-returnable &amp; non-refundable these days. For small items, it is understood that returns cost high to the sellers. But for items beyond Rs. 200-300, a return or replacement might be needed considering nature of the products. Reason?"
13,"@amazonIN 
#AmazonSpinandWin 
I played this interesting Quiz on Amazon FunZone https://t.co/rDFzvFXHKK"
14,RT @MadhubantiChat3: What utter shamelessness is this @amazon ?How do u provide a platform 2 such disgusting content! One would assume that…
15,"@amazon @AmazonHelp @amazonIN 
Which type of fraud is this. Other
Cutting slip add in box https://t.co/VSkS36tEu2"
16,"@amazonIN 
#AmazonQuiz I played this interesting Quiz on Amazon FunZone with 
@santoshkadam21 
@SAMEERK30470253 
@Raj_05MH 
@GreatPunekar https://t.co/Yq1yigwIZ0"
