,tweets
0,"@Straigh89978260 Hi! Please "" Private Message"" us your contact no. by clicking on the link given below and we'll get in touch with you to discuss this. Thanks! Ashi  https://t.co/1qRWCpRlvq"
1,"RT @nvasudevaNaray2: @rvaidya2000 I am a startup garment manufacturer and my product is listed in amazon, flipkart &amp; snapdeal for the past…"
2,@nasscom @1kunalbahl @snapdeal @debjani_ghosh_ @drsangitareddy @ShereenBhan @CNBCTV18News @CNBCYoungTurks Snapdeal itself has become fake now. It has outsourced order management and those thugs are selling customers info who get hundreds of calls on fake gifts and bank account details. Govt should ban this company
3,"@rvaidya2000 I am a startup garment manufacturer and my product is listed in amazon, flipkart &amp; snapdeal for the past 6 months. Till now I have sold only 1 shirt in amazon. It's a sham run by these e Com cos. They sell only their own brand."
4,@amazonIN @amazon @JeffBezos @flipkart @snapdeal @ShopClues @Shopify @ShopifySupport OF COMMUNICATION HAS BEEN BLOCKED BY AMAZON.
5,@amazonIN @amazon @JeffBezos @flipkart @snapdeal @ShopClues @Shopify @ShopifySupport OR PHONE TO GET THE INSTANT RESOLUTION AND INFORM ABOUT THE SAME DUE TO CALLBACK SERVICE NOT AVAILABLE &amp; CURRENTLY CHAT IS UNAVAILABLE. @JeffBezos COULD YOU PLEASE LET ME KNOW WHY THESE SOURCES
6,"@amazonIN @amazon @JeffBezos @flipkart @snapdeal @ShopClues @Shopify @ShopifySupport A WARNING NOTICE AS WELL REGARDING THE ISSUE HOWEVER I DENY THIS ALLEGATION AND RESPONDED TO EMAIL. IT HAS BEEN MORE THEN A MONTH WHEREIN, I COULD NOT CONNECT WITH SELLER SUPPORT TEAM VIA CHAT OR"
7,@amazonIN @amazon @JeffBezos @flipkart @snapdeal @ShopClues @Shopify @ShopifySupport CORRECTLY. EVEN I HAVEN'T RECEIVED A SINGLE CALL FOR THE SAME YET. I AM VERY DISAPPOINTED WITH SAFE-T CLAIM TEAM WHO IS NOT DOING THERE WORK IN A PROPER MANNER. EVEN THOUGH I HAVE RECEIVED
8,@amazonIN @amazon @JeffBezos @flipkart @snapdeal @ShopClues @Shopify @ShopifySupport WHICH WAS USED INTO THIS EMAIL. I THINK BASIS ON THE FIRST EMAIL SENT BY YOUR EXECUTIVE WHO MADE THIS MISTAKE WHEREIN HE/SHE DID NOT VALIDATE THE IMAGE TAKEN DATE AND RETURNED TO SELLER DATE
9,"@amazonIN @amazon @JeffBezos @flipkart @snapdeal @ShopClues @Shopify @ShopifySupport CLAIM STATING IMAGE ABUSE VERIFIED AND WE MAY NOT REPLY TO FURTHER ON THIS EMAILS REGARDING THIS CLAIM. HOW DISSATIFYING THIS IS WHEREIN, I AM NOT SATISFIED WITH THE RESOLUTION AND THE STATEMENT"
